tabela,periodicidade,unidade_tipo,codigo,descricao,nivel,periodo,valor
1.3,mensal,corrente,1.2.22,Indústria,3,2022-11,0
1.3,mensal,corrente,1.2.22,Indústria,3,2022-12,0
1.3,mensal,corrente,1.2.22,Indústria,3,2023-01,0
1.3,mensal,corrente,1.2.22,Indústria,3,2023-02,0
1.3,mensal,corrente,1.2.22,Indústria,3,2023-03,0
1.3,mensal,corrente,1.2.22,Indústria,3,2023-04,0
1.3,mensal,corrente,1.2.22,Indústria,3,2023-05,0
1.3,mensal,corrente,1.2.22,Indústria,3,2023-06,0
1.3,mensal,corrente,1.2.22,Indústria,3,2023-07,0
1.3,mensal,corrente,1.2.22,Indústria,3,2023-08,0
1.3,mensal,corrente,1.2.22,Indústria,3,2023-09,0
1.3,mensal,corrente,1.2.22,Indústria,3,2023-10,0
1.3,mensal,corrente,1.2.22,Indústria,3,2023-11,0
1.3,mensal,corrente,1.2.22,Indústria,3,2023-12,0
1.3,mensal,corrente,1.2.22,Indústria,3,2024-01,0
1.3,mensal,corrente,1.2.22,Indústria,3,2024-02,0
1.3,mensal,corrente,1.2.22,Indústria,3,2024-03,0
1.3,mensal,corrente,1.2.22,Indústria,3,2024-04,0
1.3,mensal,corrente,1.2.22,Indústria,3,2024-05,0
1.3,mensal,corrente,1.2.22,Indústria,3,2024-06,0
1.3,mensal,corrente,1.2.22,Indústria,3,2024-07,0
1.3,mensal,corrente,1.2.22,Indústria,3,2024-08,0
1.3,mensal,corrente,1.2.22,Indústria,3,2024-09,0
1.3,mensal,corrente,1.2.22,Indústria,3,2024-10,0
1.3,mensal,corrente,1.2.22,Indústria,3,2024-11,0
1.3,mensal,corrente,1.2.22,Indústria,3,2024-12,0
1.3,mensal,corrente,1.2.22,Indústria,3,2025-01,0
1.3,mensal,corrente,1.2.22,Indústria,3,2025-02,0
1.3,mensal,corrente,1.2.22,Indústria,3,2025-03,0
1.3,mensal,corrente,1.2.22,Indústria,3,2025-04,0
1.3,mensal,corrente,1.2.22,Indústria,3,2025-05,0
1.3,mensal,corrente,1.2.22,Indústria,3,2025-06,0
1.3,mensal,corrente,1.2.22,Indústria,3,2025-07,0
1.3,mensal,corrente,1.2.22,Indústria,3,2025-08,0
1.3,mensal,corrente,1.2.22,Indústria,3,2025-09,0
1.3,mensal,corrente,1.2.22,Indústria,3,2025-10,0
1.3,mensal,corrente,1.2.22,Indústria,3,2025-11,0
1.3,mensal,corrente,1.2.22,Indústria,3,2025-12,0
1.3,mensal,corrente,1.2.22,Indústria,3,2026-01,0
1.3,mensal,corrente,1.2.22,Indústria,3,2026-02,0
1.3,mensal,corrente,1.2.22,Indústria,3,2026-03,0
1.3,mensal,corrente,1.2.22,Indústria,3,2026-04,0
1.3,mensal,corrente,1.2.22,Indústria,3,2026-05,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2008-01,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2008-02,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2008-03,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2008-04,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2008-05,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2008-06,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2008-07,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2008-08,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2008-09,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2008-10,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2008-11,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2008-12,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2009-01,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2009-02,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2009-03,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2009-04,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2009-05,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2009-06,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2009-07,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2009-08,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2009-09,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2009-10,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2009-11,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2009-12,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2010-01,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2010-02,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2010-03,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2010-04,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2010-05,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2010-06,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2010-07,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2010-08,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2010-09,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2010-10,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2010-11,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2010-12,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2011-01,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2011-02,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2011-03,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2011-04,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2011-05,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2011-06,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2011-07,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2011-08,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2011-09,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2011-10,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2011-11,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2011-12,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2012-01,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2012-02,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2012-03,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2012-04,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2012-05,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2012-06,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2012-07,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2012-08,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2012-09,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2012-10,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2012-11,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2012-12,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2013-01,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2013-02,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2013-03,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2013-04,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2013-05,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2013-06,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2013-07,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2013-08,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2013-09,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2013-10,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2013-11,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2013-12,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2014-01,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2014-02,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2014-03,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2014-04,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2014-05,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2014-06,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2014-07,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2014-08,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2014-09,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2014-10,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2014-11,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2014-12,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2015-01,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2015-02,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2015-03,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2015-04,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2015-05,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2015-06,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2015-07,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2015-08,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2015-09,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2015-10,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2015-11,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2015-12,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2016-01,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2016-02,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2016-03,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2016-04,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2016-05,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2016-06,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2016-07,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2016-08,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2016-09,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2016-10,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2016-11,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2016-12,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2017-01,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2017-02,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2017-03,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2017-04,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2017-05,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2017-06,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2017-07,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2017-08,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2017-09,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2017-10,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2017-11,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2017-12,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2018-01,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2018-02,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2018-03,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2018-04,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2018-05,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2018-06,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2018-07,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2018-08,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2018-09,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2018-10,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2018-11,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2018-12,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2019-01,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2019-02,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2019-03,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2019-04,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2019-05,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2019-06,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2019-07,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2019-08,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2019-09,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2019-10,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2019-11,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2019-12,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2020-01,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2020-02,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2020-03,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2020-04,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2020-05,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2020-06,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2020-07,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2020-08,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2020-09,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2020-10,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2020-11,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2020-12,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2021-01,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2021-02,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2021-03,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2021-04,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2021-05,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2021-06,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2021-07,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2021-08,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2021-09,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2021-10,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2021-11,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2021-12,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2022-01,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2022-02,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2022-03,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2022-04,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2022-05,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2022-06,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2022-07,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2022-08,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2022-09,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2022-10,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2022-11,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2022-12,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2023-01,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2023-02,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2023-03,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2023-04,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2023-05,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2023-06,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2023-07,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2023-08,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2023-09,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2023-10,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2023-11,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2023-12,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2024-01,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2024-02,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2024-03,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2024-04,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2024-05,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2024-06,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2024-07,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2024-08,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2024-09,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2024-10,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2024-11,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2024-12,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2025-01,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2025-02,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2025-03,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2025-04,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2025-05,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2025-06,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2025-07,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2025-08,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2025-09,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2025-10,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2025-11,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2025-12,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2026-01,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2026-02,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2026-03,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2026-04,0
1.3,mensal,corrente,1.2.23,Comércio e Serviços,3,2026-05,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2008-01,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2008-02,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2008-03,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2008-04,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2008-05,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2008-06,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2008-07,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2008-08,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2008-09,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2008-10,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2008-11,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2008-12,200
1.3,mensal,corrente,1.2.24,Comunicações,3,2009-01,1.1761
1.3,mensal,corrente,1.2.24,Comunicações,3,2009-02,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2009-03,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2009-04,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2009-05,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2009-06,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2009-07,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2009-08,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2009-09,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2009-10,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2009-11,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2009-12,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2010-01,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2010-02,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2010-03,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2010-04,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2010-05,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2010-06,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2010-07,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2010-08,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2010-09,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2010-10,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2010-11,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2010-12,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2011-01,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2011-02,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2011-03,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2011-04,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2011-05,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2011-06,65.303255
1.3,mensal,corrente,1.2.24,Comunicações,3,2011-07,55.390537
1.3,mensal,corrente,1.2.24,Comunicações,3,2011-08,125.280557
1.3,mensal,corrente,1.2.24,Comunicações,3,2011-09,54.025651
1.3,mensal,corrente,1.2.24,Comunicações,3,2011-10,35.1541
1.3,mensal,corrente,1.2.24,Comunicações,3,2011-11,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2011-12,61.2459
1.3,mensal,corrente,1.2.24,Comunicações,3,2012-01,20.02
1.3,mensal,corrente,1.2.24,Comunicações,3,2012-02,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2012-03,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2012-04,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2012-05,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2012-06,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2012-07,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2012-08,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2012-09,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2012-10,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2012-11,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2012-12,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2013-01,52.03880142
1.3,mensal,corrente,1.2.24,Comunicações,3,2013-02,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2013-03,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2013-04,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2013-05,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2013-06,49.92290694
1.3,mensal,corrente,1.2.24,Comunicações,3,2013-07,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2013-08,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2013-09,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2013-10,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2013-11,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2013-12,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2014-01,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2014-02,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2014-03,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2014-04,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2014-05,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2014-06,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2014-07,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2014-08,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2014-09,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2014-10,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2014-11,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2014-12,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2015-01,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2015-02,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2015-03,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2015-04,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2015-05,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2015-06,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2015-07,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2015-08,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2015-09,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2015-10,0
1.3,mensal,corrente,1.2.24,Comunicações,3,2015-11,0
